UniqueID,_id,active,createdDate,lastLogin,role,signUpSource,state
227,60083a1e325c8a17946255de,True,2021-01-20 14:11:42,2021-01-20 14:15:04,consumer,Email,WI
228,6008896c633aab121bb8e11d,True,2021-01-20 19:50:04,Null,consumer,Email,WI
229,60086a09b6310511daa4e1e9,True,2021-01-20 17:36:09,2021-01-20 17:36:10,consumer,Email,WI
230,60088d55633aab121bb8e41a,True,2021-01-20 20:06:45,2021-01-20 20:07:54,consumer,Email,WI
231,60088e5d633aab121bb8e5cf,True,2021-01-20 20:11:09,2021-01-20 20:11:10,consumer,Email,WI
232,60085b3dbe5fc90ee6a67b11,True,2021-01-20 16:33:01,2021-01-20 16:36:54,consumer,Email,WI
233,60088e44b6310511daa4ef80,True,2021-01-20 20:10:44,2021-01-20 20:11:55,consumer,Email,WI
234,6008893b633aab121bb8e0a9,True,2021-01-20 19:49:15,2021-01-20 19:50:33,consumer,Email,WI
235,6008893b633aab121bb8e0a9,True,2021-01-20 19:49:15,2021-01-20 19:50:33,consumer,Email,WI
236,60088d84633aab121bb8e4a6,True,2021-01-20 20:07:32,2021-01-20 20:07:32,consumer,Email,WI
237,6008873eb6310511daa4e8eb,True,2021-01-20 19:40:46,2021-01-20 19:42:58,consumer,Email,WI
238,60086978633aab121bb8c895,True,2021-01-20 17:33:44,2021-01-20 17:37:31,consumer,Email,WI
239,60088a25b6310511daa4ec42,True,2021-01-20 19:53:09,2021-01-20 19:54:22,consumer,Email,WI
240,6008622ebe5fc9247bab4eb9,False,2021-01-20 17:02:38,2021-01-20 17:02:38,consumer,Email,WI
241,6008893b633aab121bb8e0a9,True,2021-01-20 19:49:15,2021-01-20 19:50:33,consumer,Email,WI
242,6008897ab6310511daa4ebdc,True,2021-01-20 19:50:18,2021-01-20 19:50:18,consumer,Email,WI
243,60088a46b6310511daa4ec97,True,2021-01-20 19:53:42,2021-01-20 19:53:42,consumer,Email,WI
244,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
245,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
246,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
247,6008f02fb6310511daa4f314,True,2021-01-21 03:08:31,Null,consumer,Email,IL
248,600988557d983a11f63d08ef,True,2021-01-21 13:57:41,2021-01-21 13:57:41,consumer,Email,WI
249,6009885c50b33111fd61eee9,True,2021-01-21 13:57:48,2021-01-21 13:57:48,consumer,Email,WI
250,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
251,6009e60450b3311194385009,True,2021-01-21 20:37:25,Null,consumer,Email,WI
252,6009e60450b3311194385009,True,2021-01-21 20:37:25,Null,consumer,Email,WI
253,6008d447b6310511daa4f281,True,2021-01-21 01:09:27,Null,consumer,Email,WI
254,6009e60450b3311194385009,True,2021-01-21 20:37:25,Null,consumer,Email,WI
255,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
256,60099c1450b33111fd61f702,True,2021-01-21 15:21:56,Null,consumer,Email,WI
257,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
258,6008e9cdb6310511daa4f2e4,True,2021-01-21 02:41:17,Null,consumer,Email,IL
259,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
260,600a03e17d983a124e9adb0f,True,2021-01-21 22:44:49,Null,consumer,Email,WI
